air_force_blue_raf,blue,#5d8aa8,93,138,168
air_force_blue_usaf,blue,#00308f,0,48,143
air_superiority_blue,blue,#72a0c1,114,160,193
alabama_crimson,red,#a32638,163,38,56
alice_blue,white,#f0f8ff,240,248,255
alizarin_crimson,red,#e32636,227,38,54
alloy_orange,orange,#c46210,196,98,16
almond,white,#efdecd,239,222,205
amaranth,red,#e52b50,229,43,80
amber,red,#ffbf00,255,191,0
amber_sae_ece,red,#ff7e00,255,126,0
american_rose,red,#ff033e,255,3,62
amethyst,purple,#96c,153,102,204
android_green,green,#a4c639,164,198,57
anti_flash_white,white,#f2f3f4,242,243,244
antique_brass,brown,#cd9575,205,149,117
antique_fuchsia,brown,#915c83,145,92,131
antique_ruby,brown,#841b2d,132,27,45
antique_white,white,#faebd7,250,235,215
ao_english,green,#008000,0,128,0
apple_green,green,#8db600,141,182,0
apricot,pink,#fbceb1,251,206,177
aqua,blue,#0ff,0,255,255
aquamarine,blue,#7fffd4,127,255,212
army_green,green,#4b5320,75,83,32
arsenic,gray,#3b444b,59,68,75
arylide_yellow,yellow,#e9d66b,233,214,107
ash_grey,gray,#b2beb5,178,190,181
asparagus,green,#87a96b,135,169,107
atomic_tangerine,orange,#f96,255,153,102
auburn,red,#a52a2a,165,42,42
aureolin,yellow,#fdee00,253,238,0
aurometalsaurus,blue,#6e7f80,110,127,128
avocado,green,#568203,86,130,3
azure,green,#007fff,0,127,255
azure_mist_web,white,#f0ffff,240,255,255
baby_blue,blue,#89cff0,137,207,240
baby_blue_eyes,blue,#a1caf1,161,202,241
baby_pink,pink,#f4c2c2,244,194,194
ball_blue,blue,#21abcd,33,171,205
banana_mania,yellow,#fae7b5,250,231,181
banana_yellow,yellow,#ffe135,255,225,53
barn_red,red,#7c0a02,124,10,2
battleship_grey,gray,#848482,132,132,130
bazaar,brown,#98777b,152,119,123
beau_blue,blue,#bcd4e6,188,212,230
beaver,brown,#9f8170,159,129,112
beige,white,#f5f5dc,245,245,220
big_dip_o_ruby,red,#9c2542,156,37,66
bisque,yellow,#ffe4c4,255,228,196
bistre,brown,#3d2b1f,61,43,31
bittersweet,orange,#fe6f5e,254,111,94
bittersweet_shimmer,brown,#bf4f51,191,79,81
black,black,#000,0,0,0
black_bean,black,#3d0c02,61,12,2
black_leather_jacket,black,#253529,37,53,41
black_olive,green,#3b3c36,59,60,54
blanched_almond,white,#ffebcd,255,235,205
blast_off_bronze,brown,#a57164,165,113,100
bleu_de_france,blue,#318ce7,49,140,231
blizzard_blue,blue,#ace5ee,172,229,238
blond,yellow,#faf0be,250,240,190
blue,blue,#00f,0,0,255
blue_bell,blue,#a2a2d0,162,162,208
blue_crayola,blue,#1f75fe,31,117,254
blue_gray,blue,#69c,102,153,204
blue_green,blue,#0d98ba,13,152,186
blue_munsell,blue,#0093af,0,147,175
blue_ncs,blue,#0087bd,0,135,189
blue_pigment,blue,#339,51,51,153
blue_ryb,blue,#0247fe,2,71,254
blue_sapphire,blue,#126180,18,97,128
blue_violet,blue,#8a2be2,138,43,226
blush,pink,#de5d83,222,93,131
bole,yellow,#79443b,121,68,59
bondi_blue,blue,#0095b6,0,149,182
bone,yellow,#e3dac9,227,218,201
boston_university_red,red,#c00,204,0,0
bottle_green,green,#006a4e,0,106,78
boysenberry,brown,#873260,135,50,96
brandeis_blue,blue,#0070ff,0,112,255
brass,brown,#b5a642,181,166,66
brick_red,red,#cb4154,203,65,84
bright_cerulean,blue,#1dacd6,29,172,214
bright_green,green,#6f0,102,255,0
bright_lavender,purple,#bf94e4,191,148,228
bright_maroon,red,#c32148,195,33,72
bright_pink,pink,#ff007f,255,0,127
bright_turquoise,blue,#08e8de,8,232,222
bright_ube,purple,#d19fe8,209,159,232
brilliant_lavender,purple,#f4bbff,244,187,255
brilliant_rose,red,#ff55a3,255,85,163
brink_pink,pink,#fb607f,251,96,127
british_racing_green,green,#004225,0,66,37
bronze,brown,#cd7f32,205,127,50
brown_traditional,brown,#964b00,150,75,0
brown_web,brown,#a52a2a,165,42,42
bubble_gum,red,#ffc1cc,255,193,204
bubbles,white,#e7feff,231,254,255
buff,yellow,#f0dc82,240,220,130
bulgarian_rose,red,#480607,72,6,7
burgundy,red,#800020,128,0,32
burlywood,orange,#deb887,222,184,135
burnt_orange,orange,#c50,204,85,0
burnt_sienna,red,#e97451,233,116,81
burnt_umber,red,#8a3324,138,51,36
byzantine,red,#bd33a4,189,51,164
byzantium,red,#702963,112,41,99
cadet,blue,#536872,83,104,114
cadet_blue,blue,#5f9ea0,95,158,160
cadet_grey,gray,#91a3b0,145,163,176
cadmium_green,green,#006b3c,0,107,60
cadmium_orange,orange,#ed872d,237,135,45
cadmium_red,red,#e30022,227,0,34
cadmium_yellow,yellow,#fff600,255,246,0
caf_au_lait,yellow,#a67b5b,166,123,91
caf_noir,red,#4b3621,75,54,33
cal_poly_green,green,#1e4d2b,30,77,43
cambridge_blue,blue,#a3c1ad,163,193,173
camel,yellow,#c19a6b,193,154,107
cameo_pink,pink,#efbbcc,239,187,204
camouflage_green,green,#78866b,120,134,107
canary_yellow,yellow,#ffef00,255,239,0
candy_apple_red,red,#ff0800,255,8,0
candy_pink,pink,#e4717a,228,113,122
capri,blue,#00bfff,0,191,255
caput_mortuum,brown,#592720,89,39,32
cardinal,red,#c41e3a,196,30,58
caribbean_green,green,#0c9,0,204,153
carmine,red,#960018,150,0,24
carmine_m_p,red,#d70040,215,0,64
carmine_pink,pink,#eb4c42,235,76,66
